COMPANY,FRAGMENT_SIZE,REQUESTS,RESPONSE_TIME
TBS-Barcelona,1000000,1,750
TBS-Barcelona,1000000,1,432
TBS-Barcelona,1000000,1,364
TBS-Barcelona,1000000,1,358
TBS-Barcelona,1000000,1,374
TBS-Barcelona,1000000,1,307
TBS-Barcelona,1000000,1,341
TBS-Barcelona,1000000,1,367
TBS-Barcelona,1000000,1,329
TBS-Barcelona,1000000,1,335
TBS-Barcelona,1000000,1,338
TBS-Barcelona,1000000,1,304
TBS-Barcelona,1000000,1,307
TBS-Barcelona,1000000,1,337
TBS-Barcelona,1000000,1,317
TBS-Barcelona,1000000,1,376
TBS-Barcelona,1000000,1,335
TBS-Barcelona,1000000,1,306
TBS-Barcelona,1000000,1,340
TBS-Barcelona,1000000,1,293
TBS-Barcelona,1000000,1,308
TBS-Barcelona,1000000,1,312
TBS-Barcelona,1000000,1,320
TBS-Barcelona,1000000,1,301
TBS-Barcelona,1000000,1,309
TBS-Barcelona,1000000,1,334
TBS-Barcelona,1000000,1,301
TBS-Barcelona,1000000,1,322
TBS-Barcelona,1000000,1,313
TBS-Barcelona,1000000,1,305
TBS-Barcelona,1000000,1,327
TBS-Barcelona,1000000,1,314
TBS-Barcelona,1000000,1,307
TBS-Barcelona,1000000,1,335
TBS-Barcelona,1000000,1,308
TBS-Barcelona,1000000,1,308
TBS-Barcelona,1000000,1,337
TBS-Barcelona,1000000,1,293
TBS-Barcelona,1000000,1,308
TBS-Barcelona,1000000,1,342
TBS-Barcelona,1000000,1,294
TBS-Barcelona,1000000,1,307
TBS-Barcelona,1000000,1,339
TBS-Barcelona,1000000,1,291
TBS-Barcelona,1000000,1,305
TBS-Barcelona,1000000,1,333
TBS-Barcelona,1000000,1,299
TBS-Barcelona,1000000,1,305
TBS-Barcelona,1000000,1,332
TBS-Barcelona,1000000,1,302
TBS-Barcelona,1000000,1,308
TBS-Barcelona,1000000,1,330
TBS-Barcelona,1000000,1,301
TBS-Barcelona,1000000,1,305
TBS-Barcelona,1000000,1,318
TBS-Barcelona,1000000,1,304
TBS-Barcelona,1000000,1,331
TBS-Barcelona,1000000,1,294
TBS-Barcelona,1000000,1,309
TBS-Barcelona,1000000,1,380
TBS-Barcelona,1000000,1,329
TBS-Barcelona,1000000,1,322
TBS-Barcelona,1000000,1,331
TBS-Barcelona,1000000,1,296
TBS-Barcelona,1000000,1,378
TBS-Barcelona,1000000,1,326
TBS-Barcelona,1000000,1,305
TBS-Barcelona,1000000,1,335
TBS-Barcelona,1000000,1,291
TBS-Barcelona,1000000,1,304
TBS-Barcelona,1000000,1,333
TBS-Barcelona,1000000,1,296
TBS-Barcelona,1000000,1,305
TBS-Barcelona,1000000,1,335
TBS-Barcelona,1000000,1,294
TBS-Barcelona,1000000,1,304
TBS-Barcelona,1000000,1,336
TBS-Barcelona,1000000,1,297
TBS-Barcelona,1000000,1,306
TBS-Barcelona,1000000,1,330
TBS-Barcelona,1000000,1,299
TBS-Barcelona,1000000,1,339
TBS-Barcelona,1000000,1,349
TBS-Barcelona,1000000,1,354
TBS-Barcelona,1000000,1,405
TBS-Barcelona,1000000,1,358
TBS-Barcelona,1000000,1,306
TBS-Barcelona,1000000,1,336
TBS-Barcelona,1000000,1,291
TBS-Barcelona,1000000,1,304
TBS-Barcelona,1000000,1,336
TBS-Barcelona,1000000,1,293
TBS-Barcelona,1000000,1,307
TBS-Barcelona,1000000,1,333
TBS-Barcelona,1000000,1,299
TBS-Barcelona,1000000,1,344
TBS-Barcelona,1000000,1,373
TBS-Barcelona,1000000,1,325
TBS-Barcelona,1000000,1,330
TBS-Barcelona,1000000,1,455
